Title,Authors,Year,Publication Link,Author Profile Links
Assessing the determinants of participation in the circular plastic economy by Nigerian students,"['Ajala, O.']",2 Jan 2025,https://pureportal.coventry.ac.uk/en/publications/assessing-the-determinants-of-participation-in-the-circular-plast-2,['https://pureportal.coventry.ac.uk/en/persons/olubunmi-ajala']
Does self-congruity matter for virtual influencer’s non-fungible token (NFT) purchase intentions? The role of financial literacy,"['Brahmana, R. K.']",14 Jan 2025,https://pureportal.coventry.ac.uk/en/publications/does-self-congruity-matter-for-virtual-influencers-non-fungible-t,['https://pureportal.coventry.ac.uk/en/persons/rayenda-khresna-brahmana']
Does the corporate governance index matter for company zombification?,"['Brahmana, R. K.']",22 Jan 2025,https://pureportal.coventry.ac.uk/en/publications/does-the-corporate-governance-index-matter-for-company-zombificat,['https://pureportal.coventry.ac.uk/en/persons/rayenda-khresna-brahmana']
Fostering Entrepreneurship and Innovation in Nigerian Universities,"['Ajala, O.']",Jan 2025,https://pureportal.coventry.ac.uk/en/publications/fostering-entrepreneurship-and-innovation-in-nigerian-universitie,['https://pureportal.coventry.ac.uk/en/persons/olubunmi-ajala']
"Managerial Regulatory Engagement, Access to Bank Finance, and the Moderating Role of Institutional Religiosity: A Cross-country Study","['Aghanya, D.']",Jan 2025,https://pureportal.coventry.ac.uk/en/publications/managerial-regulatory-engagement-access-to-bank-finance-and-the-m,['https://pureportal.coventry.ac.uk/en/persons/daniel-aghanya']
Mechanic Village Business Networks and Circular Economy Practices in the Automotive Industry,"['Ajala, O.']",17 Jan 2025,https://pureportal.coventry.ac.uk/en/publications/mechanic-village-business-networks-and-circular-economy-practices,['https://pureportal.coventry.ac.uk/en/persons/olubunmi-ajala']
Popular movie effects on advanced finance course performance: flipped classroom vs in-class view,"['Brahmana, R. K.']",17 Jan 2025,https://pureportal.coventry.ac.uk/en/publications/popular-movie-effects-on-advanced-finance-course-performance-flip,['https://pureportal.coventry.ac.uk/en/persons/rayenda-khresna-brahmana']
Success in cross-border M&A deals: Can ESG performance be a countervailing force against political risk?,"['Xu, B.', 'Mulatu, A.']",10 Feb 2025,https://pureportal.coventry.ac.uk/en/publications/success-in-cross-border-mampa-deals-can-esg-performance-be-a-coun,"['https://pureportal.coventry.ac.uk/en/persons/boying-xu', 'https://pureportal.coventry.ac.uk/en/persons/abay-mulatu']"
What makes companies zombie? Detecting the most important zombification feature using tree-based machine learning,"['Brahmana, R. K.']",25 Apr 2025,https://pureportal.coventry.ac.uk/en/publications/what-makes-companies-zombie-detecting-the-most-important-zombific,['https://pureportal.coventry.ac.uk/en/persons/rayenda-khresna-brahmana']
Whether voluntary GHG disclosure could help improve subsequent GHG performance-new global evidence,"['Li, M.']",Jan 2025,https://pureportal.coventry.ac.uk/en/publications/whether-voluntary-ghg-disclosure-could-help-improve-subsequent-gh,['https://pureportal.coventry.ac.uk/en/persons/mingchen-li']
Accounting professionals’ legitimacy maintenance of modern slavery inspired extreme work practices in an emerging economy,"['Chhatbar, M.']",23 Feb 2024,https://pureportal.coventry.ac.uk/en/publications/accounting-professionals-legitimacy-maintenance-of-modern-slavery,['https://pureportal.coventry.ac.uk/en/persons/mehul-chhatbar']
A risk–return trade‐off or co‐movement? Are food processing firms risk‐averse?,"['Usman, A.']",7 Apr 2024,https://pureportal.coventry.ac.uk/en/publications/a-riskreturn-tradeoff-or-comovement-are-food-processing-firms-ris,['https://pureportal.coventry.ac.uk/en/persons/ahmed-usman']
Assessing the implementation of Santiago Principles by Sovereign Wealth Funds in the ASEAN Community,"['Rwakigumba, R.', 'Guney, Y.', 'Lauretta, E.']",10 Sept 2024,https://pureportal.coventry.ac.uk/en/publications/assessing-the-implementation-of-santiago-principles-by-sovereign-,"['https://pureportal.coventry.ac.uk/en/persons/ronald-rwakigumba', 'https://pureportal.coventry.ac.uk/en/persons/yilmaz-guney', 'https://pureportal.coventry.ac.uk/en/persons/eliana-lauretta']"
Beyond Profit: The Humanisation of Economics Through the Theory of Equitable Optimality,"['Alamad, S.']",13 Apr 2024,https://pureportal.coventry.ac.uk/en/publications/beyond-profit-the-humanisation-of-economics-through-the-theory-of,['https://pureportal.coventry.ac.uk/en/persons/samir-alamad']
Catalysing Environmental Action: a Governance Framework for Enhancing Individual Participation in Sub-Saharan Africa’s Plastic Circular Economy,"['Ajala, O.']",17 Sept 2024,https://pureportal.coventry.ac.uk/en/publications/catalysing-environmental-action-a-governance-framework-for-enhanc,['https://pureportal.coventry.ac.uk/en/persons/olubunmi-ajala']
CEO succession origin and annual reports readability,"['E-Vahdati, S.']",Nov 2024,https://pureportal.coventry.ac.uk/en/publications/ceo-succession-origin-and-annual-reports-readability,['https://pureportal.coventry.ac.uk/en/persons/sahar-e-vahdati']
Contextualised accountant stereotypes: understanding their social construction and reconstruction in Chinese society,[],4 Jan 2024,https://pureportal.coventry.ac.uk/en/publications/contextualised-accountant-stereotypes-understanding-their-social-,[]
Corporate Financial Hedging and the Cost of Equity Capital,"['Ahmed, H. B.', 'Guney, Y.']",9 Jun 2024,https://pureportal.coventry.ac.uk/en/publications/corporate-financial-hedging-and-the-cost-of-equity-capital-2,"['https://pureportal.coventry.ac.uk/en/persons/hany-ahmed', 'https://pureportal.coventry.ac.uk/en/persons/yilmaz-guney']"
